SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,2263 12th Pl NW,Washington,DC,20009,830000,2,1.5,Old City 2,972,756,1890,2,854,,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/DC/Washington/2263-12th-Pl-NW-20009/home/9873534,BRIGHT MLS,DCDC2158048,N,Y,38.9204624,-77.0286801
MLS Listing,,Condo/Co-op,2109 10th St NW Ph 2,Washington,DC,20001,949900,2,2.0,Old City 2,1448,,2005,5,656,410,Active,,,https://www.redfin.com/DC/Washington/2109-10th-St-NW-20001/unit-2/home/11744823,BRIGHT MLS,DCDC2159088,N,Y,38.9185428,-77.0257482
MLS Listing,,Townhouse,1354 Queen St NE #202,Washington,DC,20002,399000,2,2.0,Trinidad,724,,1940,5,551,250,Active,,,https://www.redfin.com/DC/Washington/1354-Queen-St-NE-20002/unit-202/home/96402093,BRIGHT MLS,DCDC2157146,N,Y,38.9052597,-76.9825629
MLS Listing,,Townhouse,1411 11th St NW Unit B,Washington,DC,20001,725000,2,1.5,Old City 2,1090,,2006,6,665,534,Active,,,https://www.redfin.com/DC/Washington/1411-11th-St-NW-20001/unit-B/home/22675937,BRIGHT MLS,DCDC2156316,N,Y,38.9089688,-77.0267619
MLS Listing,,Condo/Co-op,2605 39th St NW #303,Washington,DC,20007,449900,2,1.0,Glover Park,769,,1954,6,585,616,Active,,,https://www.redfin.com/DC/Washington/2605-39th-St-NW-20007/unit-303/home/9935383,BRIGHT MLS,DCDC2158654,N,Y,38.9240341,-77.0772191
MLS Listing,,Condo/Co-op,1657 Montello Ave NE #2,Washington,DC,20002,675000,4,3.0,Trinidad,1643,,2023,7,411,212,Active,,,https://www.redfin.com/DC/Washington/1657-Montello-Ave-NE-20002/unit-2/home/185741322,BRIGHT MLS,DCDC2156528,N,Y,38.9083599,-76.9859078
MLS Listing,,Condo/Co-op,1657 Montello Ave NE #1,Washington,DC,20002,575000,3,3.0,Trinidad,1474,,2023,7,390,174,Active,,,https://www.redfin.com/DC/Washington/1657-Montello-Ave-NE-20002/unit-1/home/185741285,BRIGHT MLS,DCDC2157406,N,Y,38.9083599,-76.9859078
MLS Listing,,Condo/Co-op,1441 Euclid St NW #207,Washington,DC,20009,310000,1,1.0,Columbia Heights,518,,1939,9,598,529,Active,,,https://www.redfin.com/DC/Washington/1441-Euclid-St-NW-20009/unit-207/home/10345109,BRIGHT MLS,DCDC2157304,N,Y,38.9237841,-77.0336296
MLS Listing,,Townhouse,219 14th Pl NE,Washington,DC,20002,710000,2,1.5,Old City 1,940,1088,1915,9,755,,Active,,,https://www.redfin.com/DC/Washington/219-14th-Pl-NE-20002/home/9916528,BRIGHT MLS,DCDC2157192,N,Y,38.8926848,-76.9843256
MLS Listing,,Townhouse,5820 3rd Pl NW,Washington,DC,20011,675000,3,3.0,Brightwood,2397,2751,1936,9,282,,Active,,,https://www.redfin.com/DC/Washington/5820-3rd-Pl-NW-20011/home/10062868,BRIGHT MLS,DCDC2158156,N,Y,38.9608287,-77.0173328
MLS Listing,,Townhouse,1507 Erie St SE,Washington,DC,20020,615000,4,4.0,Randle Heights,,2445,2024,12,,,Pre On-Market,September-28-2024 01:00 PM,September-28-2024 03:00 PM,https://www.redfin.com/DC/Washington/1507-Erie-St-SE-20020/home/167653380,BRIGHT MLS,DCDC2157970,N,Y,38.8570495,-76.9847622
